amount_minor,currency,payment_method,failure_category,error_source,error_step,error_reason,error_code,attempts,action_type,attempt_number,recovered,amount_recovered,data_source
500000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
100000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
150000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
75000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
500000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
100000,INR,wallet,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
100000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
25000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,25000,synthetic
75000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
25000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
75000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,1,75000,synthetic
150000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
25000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
75000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,75000,synthetic
50000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
25000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,25000,synthetic
200000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,200000,synthetic
100000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
50000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
150000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
10000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,10000,synthetic
200000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
75000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
75000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
10000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,10000,synthetic
50000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,1,50000,synthetic
75000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,1,25000,synthetic
100000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
25000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,25000,synthetic
50000,INR,wallet,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,50000,synthetic
150000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,1,150000,synthetic
50000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
50000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
100000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
75000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
75000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,75000,synthetic
100000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
10000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
10000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
200000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,200000,synthetic
150000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
150000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,1,150000,synthetic
200000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
100000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
500000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
50000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
25000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
10000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
500000,INR,wallet,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
200000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
200000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
75000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,1,500000,synthetic
75000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
100000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,1,100000,synthetic
75000,INR,wallet,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,1,75000,synthetic
200000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,1,200000,synthetic
100000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
500000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
150000,INR,wallet,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
50000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
150000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
100000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
150000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,1,150000,synthetic
75000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,75000,synthetic
500000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
50000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,50000,synthetic
100000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
25000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
50000,INR,wallet,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
500000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
75000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
500000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
10000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
75000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
100000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
500000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
500000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
150000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,150000,synthetic
100000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,100000,synthetic
50000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
10000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,3,alternate_payment_method,3,0,0,synthetic
25000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
50000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,1,50000,synthetic
200000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
50000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
200000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
75000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,3,alternate_payment_method,3,1,75000,synthetic
50000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,50000,synthetic
100000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,3,alternate_payment_method,3,0,0,synthetic
200000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,1,200000,synthetic
50000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
100000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
150000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,150000,synthetic
100000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,100000,synthetic
100000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
500000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
50000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
10000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,10000,synthetic
200000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
500000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,500000,synthetic
100000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,1,100000,synthetic
50000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,50000,synthetic
25000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
100000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
500000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
10000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
50000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,1,500000,synthetic
75000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
200000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
50000,INR,wallet,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,50000,synthetic
150000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
150000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,150000,synthetic
75000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,upi,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,1,500000,synthetic
100000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,1,100000,synthetic
50000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,50000,synthetic
75000,INR,wallet,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,75000,synthetic
500000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
25000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
100000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
100000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,1,100000,synthetic
500000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
75000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,3,alternate_payment_method,3,1,75000,synthetic
100000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
25000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,3,alternate_payment_method,3,0,0,synthetic
50000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,1,50000,synthetic
100000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
75000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
100000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
200000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
150000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
200000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
200000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,3,alternate_payment_method,3,0,0,synthetic
50000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
10000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,10000,synthetic
150000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
10000,INR,wallet,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
50000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,50000,synthetic
75000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,75000,synthetic
50000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
50000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
50000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
500000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,3,alternate_payment_method,3,0,0,synthetic
500000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
25000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
50000,INR,netbanking,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,50000,synthetic
200000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
25000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
150000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
200000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,25000,synthetic
50000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,3,alternate_payment_method,3,1,50000,synthetic
200000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
75000,INR,upi,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
150000,INR,netbanking,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,2,alternate_payment_method,2,0,0,synthetic
10000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,10000,synthetic
150000,INR,card,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
25000,INR,upi,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,0,0,synthetic
200000,INR,wallet,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,1,alternate_payment_method,1,0,0,synthetic
150000,INR,netbanking,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,150000,synthetic
25000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,0,0,synthetic
200000,INR,card,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,1,200000,synthetic
25000,INR,card,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,2,alternate_payment_method,2,0,0,synthetic
75000,INR,wallet,bank_decline,bank,payment_authorization,payment_failed,BAD_REQUEST_ERROR,1,alternate_payment_method,1,1,75000,synthetic
50000,INR,card,payment_processing_error,gateway,payment_processing,processing_error,GATEWAY_ERROR,1,alternate_payment_method,1,1,50000,synthetic
200000,INR,upi,customer_action_required,customer,payment_authorization,action_required,BAD_REQUEST_ERROR,2,alternate_payment_method,2,0,0,synthetic
150000,INR,netbanking,unknown,unknown,unknown,unknown,UNKNOWN_ERROR,3,alternate_payment_method,3,1,150000,synthetic
